,visitas_mes,compras_hist,clicks_email_mes,antiguedad_meses,churn
81,12,2,2,24,0
82,9,2,3,15,0
83,19,1,2,12,0
84,9,2,2,23,0
85,11,4,4,8,0
86,6,1,3,6,0
87,17,1,2,3,0
88,6,1,4,23,0
89,11,3,2,4,0
90,14,0,0,10,0
91,9,3,1,14,0
92,11,0,3,21,0
93,8,1,3,24,0
94,12,0,3,15,0
95,18,0,2,7,0
96,13,0,4,7,0
97,4,1,2,8,1
98,8,2,2,10,0
99,17,1,2,19,0
100,6,3,4,19,0
101,8,2,4,2,0
102,12,4,1,15,0
103,7,0,0,1,1
104,8,3,2,10,0
105,6,4,2,6,0
106,13,1,2,22,0
107,8,4,3,13,0
108,12,2,4,10,0
109,11,0,2,12,0
110,16,1,3,24,0
111,9,1,4,6,0
112,14,2,0,6,0
113,11,2,3,1,0
114,10,3,1,12,0
115,9,2,2,23,0
116,9,3,2,23,0
117,15,1,3,10,0
118,10,1,2,14,0
119,11,3,1,15,0
120,13,1,2,23,0
121,7,3,2,24,0
122,10,1,0,4,0
123,15,2,1,1,1
124,10,1,3,8,0
125,9,2,1,3,0
126,9,4,1,14,0
127,10,2,1,17,0
128,11,2,2,2,0
129,11,3,2,15,0
130,18,3,2,6,0
131,5,1,2,5,0
132,10,2,3,14,0
133,11,1,1,19,0
134,4,3,2,9,1
135,10,3,0,8,0
136,10,1,2,3,0
137,6,3,5,18,0
138,9,1,1,8,0
139,9,2,0,16,0
140,8,3,1,15,0
141,10,3,1,21,0
142,13,3,2,15,0
143,8,0,5,16,0
144,9,0,4,1,0
145,15,5,2,10,0
146,10,0,2,19,0
147,11,1,2,5,0
148,11,0,5,18,0
149,12,3,0,3,0
150,11,1,4,4,0
151,4,3,4,4,0
152,13,1,2,11,0
153,12,7,1,9,0
154,16,3,1,1,0
155,11,2,1,16,0
156,7,1,1,9,0
157,9,2,1,11,0
158,13,2,3,6,0
159,10,4,3,17,0
160,6,1,2,12,0
161,8,5,4,22,0
162,8,1,3,8,0
163,12,2,2,16,0
164,11,1,1,5,0
165,12,2,4,21,0
166,7,2,1,1,0
167,14,0,4,17,0
168,7,4,0,24,0
169,12,2,2,21,0
170,12,3,2,8,1
171,13,0,2,10,0
172,7,2,3,18,0
173,4,1,4,15,0
174,7,3,3,20,0
175,10,1,4,13,0
176,10,7,0,10,0
177,8,2,4,9,0
178,8,0,3,13,0
179,8,3,5,3,0
180,8,5,2,22,0
181,9,1,3,23,0
182,7,1,5,3,0
183,10,1,2,1,0
184,9,2,0,2,0
185,10,1,3,11,0
186,13,4,1,14,0
187,8,2,3,10,0
188,10,3,1,7,0
189,8,2,2,23,0
190,10,0,2,1,0
191,12,1,1,7,0
192,5,5,2,15,0
193,11,4,3,11,0
194,5,1,1,6,1
195,8,3,5,22,0
196,7,2,0,7,0
197,12,3,1,7,0
198,9,1,1,1,0
199,10,1,3,10,1
200,11,1,1,21,1
201,11,1,0,15,0
202,13,2,2,8,0
203,8,2,1,24,0
204,8,0,0,19,1
205,11,1,2,3,0
206,5,0,3,23,1
207,7,2,2,15,0
208,4,0,2,4,1
209,10,3,3,6,0
210,15,2,1,10,0
211,11,2,1,18,0
212,9,4,5,16,0
213,13,2,5,18,0
214,14,1,1,6,0
215,9,0,5,19,0
216,11,1,2,17,0
217,7,1,1,18,0
218,15,2,1,13,0
219,15,1,3,7,0
220,10,4,5,20,0
221,9,1,1,12,1
222,7,2,2,2,0
223,8,0,0,12,0
224,10,1,4,12,0
225,16,2,1,24,0
226,8,2,0,4,0
227,8,5,1,4,0
228,9,3,4,18,0
229,14,0,3,16,0
230,5,1,3,14,0
231,9,0,1,17,0
232,11,2,1,17,0
233,10,2,3,3,0
234,14,5,3,6,0
235,5,2,2,23,0
236,12,2,2,13,0
237,7,3,3,9,0
238,13,5,4,21,0
239,12,5,3,9,0
240,5,2,2,8,0
241,13,1,3,17,0
242,7,0,1,16,0
243,8,1,3,16,0
244,7,1,2,19,0
245,13,1,2,24,0
246,11,2,2,16,0
247,17,2,2,14,0
248,13,1,6,20,0
249,7,1,1,14,0
250,10,1,1,14,0
251,11,2,5,14,0
252,8,2,3,12,0
253,12,1,5,6,0
254,12,3,2,20,0
255,8,2,2,13,0
256,13,1,1,16,0
257,11,1,2,9,0
258,12,1,2,2,1
259,10,3,2,22,0
260,12,1,3,3,0
261,11,5,2,10,0
262,9,1,0,20,0
263,3,3,1,2,1
264,7,5,2,24,0
265,14,1,7,10,0
266,10,0,1,8,1
267,6,3,3,17,0
268,10,2,2,22,0
269,15,0,1,1,0
270,13,0,3,6,0
271,11,2,3,7,0
272,5,1,3,15,0
273,10,2,1,18,0
274,9,2,4,9,0
275,7,2,4,8,0
276,9,3,2,10,0
277,12,2,1,4,0
278,9,1,3,20,0
279,9,2,1,8,0
280,10,2,1,1,0
281,16,2,2,8,0
282,9,4,2,23,0
283,12,4,2,12,0
284,13,0,1,23,0
285,12,3,1,15,0
286,13,1,1,13,0
287,16,3,5,16,0
288,14,3,3,23,0
289,10,2,2,18,0
290,12,2,2,1,0
291,12,1,1,17,0
292,9,2,0,16,0
293,11,0,4,23,0
294,13,1,1,5,0
295,9,2,2,20,0
296,5,1,3,21,0
297,14,2,1,10,0
298,9,2,1,6,0
299,13,1,0,12,0
300,13,0,2,10,1
301,6,2,1,22,0
302,7,3,2,17,1
303,9,3,4,2,0
304,8,1,3,19,0
305,13,2,1,20,0
306,11,3,3,6,0
307,11,1,1,13,1
308,7,2,0,9,1
309,9,1,3,12,0
310,12,4,2,18,0
311,7,2,4,8,0
312,12,5,1,18,0
313,7,2,3,23,0
314,13,4,2,22,0
315,13,3,0,2,0
316,16,0,1,8,0
317,11,3,2,10,0
318,6,1,4,9,0
319,9,3,0,24,0
320,13,2,0,18,0
321,11,1,2,8,0
322,11,0,3,19,0
323,11,1,2,3,0
324,8,1,1,9,0
325,10,4,3,13,0
326,16,1,1,9,0
327,7,2,1,20,0
328,8,3,5,12,0
329,8,3,1,23,0
330,8,1,1,13,0
331,11,2,1,8,0
332,10,4,2,15,0
333,16,5,2,13,0
334,3,1,2,21,0
335,6,2,1,13,0
336,12,3,1,17,0
337,14,2,3,15,0
338,10,2,1,22,0
339,10,3,0,19,0
340,13,2,1,3,0
341,6,0,4,14,0
342,9,4,1,10,0
343,6,1,1,17,0
344,10,0,0,8,1
345,6,3,3,18,0
346,16,3,3,12,0
347,7,2,2,17,0
348,13,3,0,23,0
349,11,1,0,11,0
350,8,1,2,9,0
351,11,2,2,22,0
352,9,3,0,24,0
353,13,4,3,24,0
354,10,2,2,23,0
355,9,4,1,15,0
356,6,1,2,9,1
357,13,0,2,12,0
358,6,3,3,11,0
359,8,6,2,17,0
360,9,3,2,6,0
361,14,3,2,8,0
362,6,3,2,10,0
363,9,4,0,15,0
364,8,2,1,4,0
365,14,1,3,18,0
366,7,5,4,11,0
367,13,3,1,9,0
368,7,3,3,9,0
369,9,0,4,8,1
370,13,0,2,3,0
371,18,2,1,21,0
372,7,2,1,18,0
373,13,2,5,14,0
374,15,0,2,3,0
375,11,0,1,17,0
376,10,2,0,4,0
377,10,0,1,21,0
378,9,0,1,18,1
379,11,5,2,15,0
380,10,1,2,19,0
381,7,2,0,22,0
382,4,1,0,6,1
383,13,0,7,15,0
384,14,0,0,7,0
385,8,0,4,12,0
386,12,0,1,16,0
387,15,2,3,9,0
388,10,4,1,20,0
389,17,0,3,5,0
390,7,1,1,11,1
391,10,3,3,2,0
392,8,1,0,22,0
393,15,2,2,16,0
394,6,1,2,4,0
395,12,4,1,5,0
396,11,3,3,7,0
397,8,1,2,6,0
398,14,2,0,24,0
399,9,1,3,22,0
400,8,4,1,10,0
401,9,0,4,14,0
402,8,5,1,8,0
403,10,2,1,14,0
404,7,3,3,14,0
405,10,3,2,20,0
406,3,1,2,23,0
407,7,2,1,3,0
408,9,0,3,1,0
409,14,1,1,9,0
410,13,0,1,9,1
411,11,4,3,22,0
412,15,4,4,2,0
413,11,3,2,16,0
414,12,1,1,8,0
415,4,4,1,6,0
416,12,1,2,23,0
417,11,5,2,13,0
418,13,0,0,1,0
419,6,3,1,19,0
420,9,0,1,15,0
421,14,4,1,1,0
422,8,1,1,10,0
423,5,2,2,1,1
424,5,2,2,12,0
425,3,2,1,11,1
426,8,1,2,17,0
427,11,2,2,4,0
428,11,3,1,23,0
429,24,1,1,7,0
430,10,2,3,12,0
431,8,4,3,13,0
432,8,2,3,5,0
433,11,1,1,6,0
434,6,0,4,2,0
435,10,2,3,21,0
436,12,2,4,7,0
437,20,2,1,14,0
438,11,2,0,22,0
439,6,0,4,14,0
440,8,3,1,10,0
441,9,1,1,4,0
442,9,3,4,3,0
443,10,5,3,23,0
444,12,4,1,14,0
445,8,2,0,6,0
446,8,2,3,23,0
447,6,5,2,15,0
448,8,0,1,8,1
449,11,2,1,5,0
450,4,4,2,3,0
451,12,6,1,3,0
452,6,0,2,13,1
453,13,2,1,2,1
454,5,1,3,24,0
455,9,1,4,1,0
456,11,3,6,12,0
457,12,3,2,8,0
458,14,4,2,19,0
459,11,2,2,9,0
460,4,4,3,14,0
461,11,4,3,18,0
462,6,4,2,10,0
463,6,3,3,9,0
464,13,3,3,6,0
465,7,3,3,1,0
466,8,1,0,5,0
467,7,1,3,10,0
468,8,3,2,13,0
469,6,6,1,22,0
470,6,0,4,23,0
471,7,2,3,4,0
472,11,2,2,1,0
473,11,0,1,21,0
474,4,7,4,2,0
475,8,3,1,24,0
476,6,4,1,4,0
477,9,6,1,17,0
478,9,2,1,10,0
479,5,1,2,23,0
480,8,2,1,12,0
481,16,0,2,2,0
482,11,1,6,3,0
483,10,1,2,14,0
484,11,5,3,15,0
485,12,2,3,13,0
486,14,2,2,9,0
487,8,4,3,2,0
488,6,1,5,19,1
489,12,4,1,16,0
490,12,0,2,11,0
491,7,5,6,12,0
492,17,0,4,1,0
493,8,0,0,2,1
494,6,2,2,16,0
495,4,2,1,2,1
496,9,0,0,19,0
497,12,2,4,10,0
498,7,5,3,19,0
499,12,2,2,10,0
500,15,4,2,16,0
501,3,1,0,13,1
502,15,2,3,16,0
503,13,0,2,18,0
504,10,1,4,24,0
505,13,1,4,8,0
506,7,0,1,24,1
507,14,0,0,18,0
508,9,3,3,13,0
509,12,2,3,7,0
510,9,1,1,21,0
511,9,4,0,23,0
512,13,2,0,24,0
513,17,4,3,18,0
514,12,1,2,6,0
515,15,3,1,9,0
516,11,0,3,6,0
517,13,2,2,18,0
518,12,3,1,17,0
519,10,0,2,12,0
520,9,4,2,3,0
521,10,3,2,5,0
522,17,4,1,7,0
523,9,0,2,10,0
524,8,0,3,10,0
525,14,3,4,19,0
526,11,4,1,4,1
527,11,1,1,10,0
528,11,4,3,18,0
529,12,2,1,3,0
530,9,1,2,21,0
531,6,2,6,3,0
532,11,1,2,5,0
533,8,2,3,16,0
534,10,3,1,20,0
535,7,1,3,13,0
536,8,2,0,11,0
537,12,4,4,13,0
538,13,0,1,19,0
539,15,4,1,6,1
540,5,2,2,24,0
541,7,0,5,13,0
542,10,1,0,4,0
543,15,1,0,22,0
544,14,1,4,5,0
545,6,3,3,19,0
546,11,1,0,5,1
547,6,1,2,21,0
548,13,4,2,14,0
549,10,1,0,4,1
550,7,2,2,12,0
551,8,2,2,6,1
552,11,0,4,19,0
553,10,1,1,10,0
554,14,3,3,1,0
555,14,3,3,23,0
556,12,1,1,23,0
557,11,1,3,16,0
558,13,0,1,4,0
559,10,0,6,9,0
560,8,2,1,18,0
561,8,8,3,17,0
562,7,2,2,15,0
563,16,4,2,19,0
564,12,2,2,7,0
565,12,2,3,18,0
566,13,3,1,6,0
567,13,3,1,19,0
568,10,2,1,21,0
569,8,3,0,12,0
570,12,1,3,3,0
571,10,6,2,1,0
572,3,2,6,5,0
573,12,4,0,1,0
574,1,3,1,8,1
575,11,1,0,7,1
576,10,1,2,15,0
577,8,0,1,11,0
578,7,0,1,18,0
579,8,3,3,14,0
580,8,2,2,9,0
581,11,4,1,5,0
582,7,5,1,23,0
583,8,2,3,4,0
584,13,0,1,12,0
585,10,8,1,1,0
586,11,8,1,24,0
587,14,4,2,13,0
588,14,0,2,1,1
589,9,2,1,3,0
590,12,1,2,22,0
591,15,0,1,8,0
592,9,1,1,24,0
593,9,2,5,18,0
594,13,2,2,16,0
595,11,1,3,20,0
596,10,0,0,20,0
597,14,0,2,16,0
598,8,4,2,2,0
599,9,1,2,17,0
600,11,1,3,10,0
601,11,2,2,7,0
602,13,1,0,10,0
603,12,2,1,19,0
604,6,1,2,20,0
605,10,2,1,9,0
606,11,4,2,22,0
607,7,3,2,17,0
608,9,1,3,9,0
609,6,2,4,9,0
610,7,2,1,5,0
611,12,0,2,24,0
612,12,5,2,7,0
613,10,3,2,11,0
614,16,3,5,8,0
615,11,4,3,14,0
616,9,5,4,2,0
617,6,1,2,10,0
618,10,2,1,21,0
619,8,2,0,24,0
620,9,1,2,16,0
621,8,4,2,16,0
622,11,0,2,19,0
623,11,5,1,11,0
624,8,0,2,6,0
625,17,1,6,6,0
626,13,2,2,7,0
627,5,1,2,16,0
628,12,0,1,13,0
629,4,0,2,3,1
630,9,0,1,24,0
631,15,1,3,24,0
632,10,3,3,9,0
633,13,5,5,24,0
634,8,1,6,3,0
635,12,0,0,6,0
636,6,0,4,17,0
637,8,3,2,3,0
638,10,3,1,2,0
639,9,3,1,12,0
640,6,1,3,24,0
641,12,0,1,6,1
642,17,1,2,10,0
643,7,6,0,11,0
644,12,2,1,16,0
645,17,3,2,16,0
646,6,1,0,24,0
647,9,2,0,18,0
648,12,0,3,22,0
649,9,5,2,23,0
650,11,1,4,24,0
651,9,3,3,9,0
652,11,2,3,21,0
653,16,2,4,19,0
654,12,1,4,2,0
655,11,2,3,24,0
656,8,0,1,1,0
657,7,2,0,16,0
658,11,1,4,22,0
659,5,0,2,18,1
660,12,6,2,3,0
661,10,2,1,24,0
662,8,4,1,1,0
663,10,0,4,6,0
664,6,1,1,19,1
665,12,1,0,22,0
666,7,2,3,19,0
667,8,1,0,11,0
668,10,1,3,8,0
669,11,1,0,5,0
670,15,2,2,20,0
671,8,3,2,9,0
672,13,3,2,15,0
673,4,0,2,21,0
674,11,7,1,14,0
675,8,2,3,4,0
676,9,2,1,24,0
677,8,2,1,24,0
678,10,2,2,8,0
679,10,0,1,20,0
680,7,3,3,17,0
681,8,0,2,2,1
682,12,1,2,20,0
683,10,4,2,16,0
684,8,2,2,10,0
685,11,3,1,2,0
686,12,3,1,11,0
687,9,3,4,10,0
688,5,1,4,19,0
689,6,1,4,14,1
690,11,2,3,11,0
691,12,1,1,9,0
692,8,2,2,7,0
693,9,4,2,15,0
694,10,5,2,20,0
695,10,1,3,17,0
696,10,3,1,3,0
697,7,1,3,15,0
698,9,2,5,14,0
699,9,4,2,8,0
700,13,2,2,4,0
701,10,1,3,10,0
702,12,3,3,2,0
703,9,3,2,14,0
704,10,3,3,8,0
705,7,4,2,23,0
706,9,2,3,10,0
707,10,3,2,18,0
708,10,1,5,15,0
709,9,1,0,5,0
710,10,1,0,22,0
711,15,1,5,13,0
712,6,3,2,18,0
713,7,4,2,2,0
714,10,2,3,13,0
715,5,2,4,14,0
716,12,4,0,10,0
717,12,2,0,4,0
718,7,2,4,15,0
719,12,2,1,8,0
720,12,1,0,15,0
721,10,5,3,14,0
722,12,5,2,21,0
723,8,0,1,9,0
724,14,0,0,20,0
725,10,2,2,3,0
726,11,1,0,15,0
727,9,2,0,24,0
728,11,1,2,17,0
729,5,3,4,16,0
730,9,2,2,4,0
731,9,0,2,11,0
732,10,2,1,8,0
733,12,2,2,3,0
734,6,0,4,19,0
735,16,0,1,14,0
736,15,0,3,9,0
737,7,5,0,3,0
738,8,3,2,4,0
739,10,2,4,4,1
740,16,2,2,11,0
741,3,1,2,19,0
742,13,3,0,16,0
743,10,1,2,23,0
744,11,2,0,22,0
745,11,0,2,17,0
746,10,2,3,10,0
747,12,4,1,24,0
748,17,3,1,17,0
749,4,1,2,16,1
750,14,1,2,20,0
751,8,1,5,22,0
752,13,1,3,6,0
753,6,1,2,7,0
754,12,2,0,14,0
755,8,1,1,11,0
756,9,2,2,12,0
757,15,2,0,14,0
758,9,2,1,5,0
759,9,1,3,5,1
760,9,2,2,20,0
761,7,0,3,22,0
762,8,0,2,23,0
763,8,2,2,15,0
764,8,1,2,1,0
765,2,1,5,24,0
766,13,7,2,23,0
767,9,0,1,9,0
768,19,0,2,3,0
769,14,3,1,4,0
770,10,1,1,16,0
771,8,1,1,7,0
772,10,0,1,22,0
773,11,7,4,14,0
774,13,3,2,16,0
775,12,2,0,18,0
776,9,2,0,16,0
777,9,1,1,16,1
778,8,3,1,2,0
779,10,1,2,10,0
780,6,2,0,7,0
781,11,1,3,15,0
782,11,1,2,9,0
783,8,0,1,7,1
784,13,3,4,24,0
785,8,3,3,16,0
786,7,2,2,3,0
787,13,2,9,17,0
788,8,1,4,23,0
789,9,3,3,8,0
790,11,1,2,2,0
791,11,1,4,20,0
792,13,3,1,3,0
793,14,3,4,8,0
794,17,2,1,2,0
795,8,2,3,19,0
796,10,3,4,17,0
797,6,1,1,5,0
798,10,1,1,20,0
799,10,1,2,17,0
